"# values are in ""000 Rs",,
Province,F.Y 2017/18,F.Y 2018/19
Province No 1,192670892,217772975
Province No 2,564422820,654881988
Province No 3,173739702,195782272
Gandaki,,
Province No 5,296028065,327999971
Karnali,,
Sudur Pashchim,18328769,22122224
Total Imports,1245190247,1418559431
