# http://worldpopulationreview.com/countries/third-world-countries/
"Afghanistan, Angola"
"Bangladesh, Benin, Bhutan, Burkina Faso, Burundi"
"Cambodia, Central African Republic, Chad, Comoros"
"Democratic Republic of the Congo, Djibouti"
"East Timor, Eritrea, Ethiopia"
"Gambia, Guinea, Guinea-Bissau"
Haiti
Kiribati
"Laos, Lesotho, Liberia"
"Madagascar, Malawi, Mali, Mauritania, Mozambique, Myanmar"
"Nepal, Niger"
Rwanda
"Sao Tome and Principe, Senegal, Sierra Leone, Solomon Islands, Somalia, South Sudan, Sudan"
"Tanzania, Togo, Tuvalu"
Uganda
Vanuatu
Yemen
Zambia
