Shallow (60 cm),Medium to deep (90 cm ),Deep (120 cm),Very deep (180 cm)
Rice,Wheat,Maize,Sugarcane
Potato,Ground nut,Cotton,Citrus
Cauliflower,Carrots,Sorghum,Coffee
Cabbage,Soybean,Pear millet,Sunflower
Lettuce,Pea,Sugar beet,
Onion,Bean,Chillies,
